Prot,A,B,C,D,E,F,G,H,I,J
1,14.253813,15.342920,12.062763,15.626846,16.259774,13.358365,11.474924,14.775027,14.895422,11.423663
2,14.683880,14.349839,19.035751,7.794823,16.892806,10.135090,12.538735,18.295515,12.157853,15.312432
3,13.374442,12.570964,14.078762,11.378002,9.490103,9.586452,15.807067,11.624358,8.886045,15.587091
4,11.693159,15.509573,19.605952,13.561678,16.960527,14.941711,15.316778,14.289960,12.260247,15.195630
5,10.245752,10.827527,14.729997,14.282782,13.015038,12.088564,14.606384,16.101880,11.229409,13.042043
6,14.124871,11.006089,9.906027,15.471812,17.198657,14.806019,10.908340,15.138261,10.061130,12.436653
7,17.730914,9.173030,13.717627,14.686454,17.527188,11.795348,11.819383,16.232343,5.571301,13.000725
8,11.944685,14.699015,12.249026,11.978538,11.463071,17.436142,5.269106,10.728929,11.296112,14.037465
9,12.411971,13.082855,18.843651,11.061462,12.271894,14.326280,14.566760,11.532404,9.068371,13.465418
10,12.604731,14.739445,10.362482,10.932567,14.593491,14.942292,11.314061,13.569926,9.427821,13.161178
