Row,A,B,C,D,E,F,G,H,I,J
1,16.672674,17.276517,10.337383,15.993493,10.702363,10.941637,11.828735,13.783421,15.562070,7.773670
2,15.504665,11.205283,13.071469,9.051590,12.156968,11.527264,14.547035,12.094820,15.350386,13.818124
3,16.007152,13.001991,15.639333,11.415156,15.375524,14.879802,8.615414,15.998561,16.505369,14.489960
4,13.181674,8.887529,14.236862,14.688737,9.335866,13.355554,13.669429,20.121044,15.513035,14.356203
5,12.565896,13.547196,12.485700,15.582934,8.505299,20.554386,12.422819,18.614300,13.089476,13.770266
6,15.963848,17.308653,19.278162,11.760760,9.485133,8.480274,12.143806,11.046332,11.978634,10.033285
7,16.952337,11.613959,14.663749,12.437205,18.773225,10.791930,13.738915,12.469457,13.266160,12.402400
8,14.773762,14.111902,11.976898,14.800694,11.545718,6.511887,12.864019,10.938734,13.585070,13.515956
9,15.452256,13.378001,15.880783,13.865187,17.092794,12.965844,8.158091,13.929798,8.549661,11.527927
10,10.479312,19.600731,15.946819,9.364407,16.766351,12.447129,16.215424,10.692247,11.874584,15.162020
