Row # 	        A        	        B        	        C        	        D        	        E        	        F        	        G        	        H        	        I        	        J
1     	18.398367 	16.551929 	8.006491 	13.476446 	15.524206 	11.310726 	10.048901 	10.929553 	12.963228 	10.995501
2     	17.226317 	15.089344 	13.657135 	20.029045 	14.252312 	13.666337 	10.346279 	7.789177 	17.977141 	10.806161
3     	18.908105 	10.627400 	11.615970 	18.211776 	15.832987 	19.096152 	10.758104 	12.042184 	11.092099 	11.669874
4     	10.523246 	11.322431 	16.714227 	13.696676 	10.368486 	12.054476 	17.348587 	17.380972 	11.585283 	12.863552
5     	15.565333 	13.823818 	10.571562 	17.290444 	10.611011 	13.743444 	12.580337 	17.964439 	11.935191 	15.053615
6     	6.463779 	14.575681 	15.180184 	14.720118 	16.791488 	9.599376 	13.205320 	15.175742 	12.972497 	13.107950
7     	12.745194 	10.769861 	15.877795 	12.559723 	11.224148 	13.620273 	14.536961 	16.310424 	10.803021 	13.511818
8     	9.051813 	18.903658 	15.733407 	11.597929 	18.116069 	13.944528 	9.558583 	6.740509 	13.401428 	14.497596
9     	11.163638 	18.320560 	7.223393 	15.525411 	15.064080 	7.751125 	12.880807 	9.482203 	14.546315 	10.343759
10     	13.276692 	13.005773 	8.961795 	9.757104 	16.487904 	11.572961 	10.407578 	11.039531 	12.245717 	10.301251 
