origin	name	size	site	multiplicity	edge_num	like_weight_ratio	post_prob	classification	scientific_name	domain_id	domain_name	division_id	division_name	class_id	class_name
COG0151.aligned	.1-.8_coastal_FGI7SFI01A00A8_11	.1-.8	coastal	1	2986	0.647615	0.74124	2759	Eukaryota	2759	Eukaryota	-1	NULL	-1	NULL
COG0070.aligned	.1-.8_coastal_FGI7SFI01A00BK_12	.1-.8	coastal	1	538	0.315396	0.444394	33847	Thalassiosirales	2759	Eukaryota	33634	Stramenopiles	2836	Bacillariophyta
COG0556.aligned	.1-.8_coastal_FGI7SFI01A00DF_13	.1-.8	coastal	1	2763	0.327489	0.403556	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1430.aligned	.1-.8_coastal_FGI7SFI01A00F4_3	.1-.8	coastal	1	1447	0.975774	0.993451	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1466.aligned	.1-.8_coastal_FGI7SFI01A00FG_6	.1-.8	coastal	1	1401	0.391161	0.238088	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0495.aligned	.1-.8_coastal_FGI7SFI01A00JI_5	.1-.8	coastal	1	1398	0.773384	0.623132	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0050.aligned	.1-.8_coastal_FGI7SFI01A00K1_11	.1-.8	coastal	1	2523	0.381603	0.479156	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0050.aligned	.1-.8_coastal_FGI7SFI01A00K1_13	.1-.8	coastal	1	2523	0.930081	0.958118	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0161.aligned	.1-.8_coastal_FGI7SFI01A00ND_6	.1-.8	coastal	1	651	1	1	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG3914.aligned	.1-.8_coastal_FGI7SFI01A00PF_4	.1-.8	coastal	1	668	0.988477	0.993175	87882	Burkholderia cepacia complex	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG4664.aligned	.1-.8_coastal_FGI7SFI01A00RF_12	.1-.8	coastal	1	286	0.623729	0.661559	31989	Rhodobacteraceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG4623.aligned	.1-.8_coastal_FGI7SFI01A00SF_13	.1-.8	coastal	1	267	0.375826	0.481575	1224	Proteobacteria	2	Bacteria	1224	Proteobacteria	-1	NULL
COG1472.aligned	.1-.8_coastal_FGI7SFI01A00SY_6	.1-.8	coastal	1	1088	0.214196	0.219418	338	Xanthomonas	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1792.aligned	.1-.8_coastal_FGI7SFI01A00W0_8	.1-.8	coastal	1	2217	1	1	285892	unclassified Rhodobacterales	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0525.aligned	.1-.8_coastal_FGI7SFI01A00XQ_14	.1-.8	coastal	1	3270	0.606763	0.636929	338191	Nitrosopumilus	2157	Archaea	651137	Thaumarchaeota	31932	Nitrosopumilales
COG2130.aligned	.1-.8_coastal_FGI7SFI01A01F0_5	.1-.8	coastal	1	219	0.821959	0.726999	433	Acetobacteraceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1116.aligned	.1-.8_coastal_FGI7SFI01A01MR_2	.1-.8	coastal	1	2969	0.572613	0.577048	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2873.aligned	.1-.8_coastal_FGI7SFI01A01RU_12	.1-.8	coastal	1	1975	0.256194	0.458071	136849	Pseudomonas syringae group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2759.aligned	.1-.8_coastal_FGI7SFI01A01U8_15	.1-.8	coastal	1	866	0.345081	0.188242	224471	Burkholderiales Genera incertae sedis	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG0532.aligned	.1-.8_coastal_FGI7SFI01A022I_12	.1-.8	coastal	1	3429	0.116529	0.185019	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG2035.aligned	.1-.8_coastal_FGI7SFI01A023S_4	.1-.8	coastal	1	616	0.746646	0.862021	85003	Actinobacteridae	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0527.aligned	.1-.8_coastal_FGI7SFI01A0249_6	.1-.8	coastal	1	872	0.365444	0.420719	414999	Opitutae	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG0399.aligned	.1-.8_coastal_FGI7SFI01A029A_4	.1-.8	coastal	1	4700	0.529653	0.629822	131190	SAR324 cluster	2	Bacteria	1224	Proteobacteria	68525	delta/epsilon subdivisions
